"cata_cata","cata_llave","llave_prim1","llave_prim2","descripcion","decimales","porcentaje","agrupaciones"
"c_Pais","GIN","","","Guinea",0,0,""
"c_Pais","GLP","","","Guadalupe",0,0,""
"c_Pais","GMB","","","Gambia (La)",0,0,""
"c_Pais","GNB","","","Guinea-Bis�u",0,0,""
"c_Pais","GNQ","","","Guinea Ecuatorial",0,0,""
"c_Pais","GRC","","","Grecia",0,0,"Uni�n Europea"
"c_Pais","GRD","","","Granada",0,0,""
"c_Pais","GRL","","","Groenlandia",0,0,""
"c_Pais","GTM","","","Guatemala",0,0,""
"c_Pais","GUF","","","Guayana Francesa",0,0,""
"c_Pais","GUM","","","Guam",0,0,""
"c_Pais","GUY","","","Guyana",0,0,""
"c_Pais","HKG","","","Hong Kong",0,0,""
"c_Pais","HMD","","","Isla Heard e Islas McDonald",0,0,""
"c_Pais","HND","","","Honduras",0,0,""
"c_Pais","HRV","","","Croacia",0,0,"Uni�n Europea"
"c_Pais","HTI","","","Hait�",0,0,""
"c_Pais","HUN","","","Hungr�a",0,0,"Uni�n Europea"
"c_Pais","IDN","","","Indonesia",0,0,""
"c_Pais","IMN","","","Isla de Man",0,0,""
"c_Pais","IND","","","India",0,0,""
"c_Pais","IOT","","","Territorio Brit�nico del Oc�ano �ndico (el)",0,0,""
"c_Pais","IRL","","","Irlanda",0,0,"Uni�n Europea"
"c_Pais","IRN","","","Ir�n (la Rep�blica Isl�mica de)",0,0,""
"c_Pais","IRQ","","","Irak",0,0,""
"c_Pais","ISL","","","Islandia",0,0,""
"c_Pais","ISR","","","Israel",0,0,""
"c_Pais","ITA","","","Italia",0,0,"Uni�n Europea"
"c_Pais","JAM","","","Jamaica",0,0,""
"c_Pais","JEY","","","Jersey",0,0,""
"c_Pais","JOR","","","Jordania",0,0,""
"c_Pais","JPN","","","Jap�n",0,0,""
"c_Pais","KAZ","","","Kazajist�n",0,0,""
"c_Pais","KEN","","","Kenia",0,0,""
"c_Pais","KGZ","","","Kirguist�n",0,0,""
"c_Pais","KHM","","","Camboya",0,0,""
"c_Pais","KIR","","","Kiribati",0,0,""
"c_Pais","KNA","","","San Crist�bal y Nieves",0,0,""
"c_Pais","KOR","","","Corea (la Rep�blica de)",0,0,""
"c_Pais","KWT","","","Kuwait",0,0,""
"c_Pais","LAO","","","Lao, (la) Rep�blica Democr�tica Popular",0,0,""
"c_Pais","LBN","","","L�bano",0,0,""
"c_Pais","LBR","","","Liberia",0,0,""
"c_Pais","LBY","","","Libia",0,0,""
"c_Pais","LCA","","","Santa Luc�a",0,0,""
"c_Pais","LIE","","","Liechtenstein",0,0,""
"c_Pais","LKA","","","Sri Lanka",0,0,""
"c_Pais","LSO","","","Lesoto",0,0,""
"c_Pais","LTU","","","Lituania",0,0,"Uni�n Europea"
"c_Pais","LUX","","","Luxemburgo",0,0,"Uni�n Europea"
"c_Pais","LVA","","","Letonia",0,0,"Uni�n Europea"
"c_Pais","MAC","","","Macao",0,0,""
"c_Pais","MAF","","","San Mart�n (parte francesa)",0,0,""
"c_Pais","MAR","","","Marruecos",0,0,""
"c_Pais","MCO","","","M�naco",0,0,""
"c_Pais","MDA","","","Moldavia (la Rep�blica de)",0,0,""
"c_Pais","MDG","","","Madagascar",0,0,""
"c_Pais","MDV","","","Maldivas",0,0,""
"c_Pais","MEX","","","M�xico",0,0,"TLCAN"
"c_Pais","MHL","","","Islas Marshall (las)",0,0,""
"c_Pais","MKD","","","Macedonia (la antigua Rep�blica Yugoslava de)",0,0,""
"c_Pais","MLI","","","Mal�",0,0,""
"c_Pais","MLT","","","Malta",0,0,"Uni�n Europea"
"c_Pais","MMR","","","Myanmar",0,0,""
"c_Pais","MNE","","","Montenegro",0,0,""
"c_Pais","MNG","","","Mongolia",0,0,""
"c_Pais","MNP","","","Islas Marianas del Norte (las)",0,0,""
"c_Pais","MOZ","","","Mozambique",0,0,""
"c_Pais","MRT","","","Mauritania",0,0,""
"c_Pais","MSR","","","Montserrat",0,0,""
"c_Pais","MTQ","","","Martinica",0,0,""
"c_Pais","MUS","","","Mauricio",0,0,""
"c_Pais","MWI","","","Malaui",0,0,""
"c_Pais","MYS","","","Malasia",0,0,""
"c_Pais","MYT","","","Mayotte",0,0,""
"c_Pais","NAM","","","Namibia",0,0,""
"c_Pais","NCL","","","Nueva Caledonia",0,0,""
"c_Pais","NER","","","N�ger (el)",0,0,""
"c_Pais","NFK","","","Isla Norfolk",0,0,""
"c_Pais","NGA","","","Nigeria",0,0,""
"c_Pais","NIC","","","Nicaragua",0,0,""
"c_Pais","NIU","","","Niue",0,0,""
"c_Pais","NLD","","","Pa�ses Bajos (los)",0,0,"Uni�n Europea"
"c_Pais","NOR","","","Noruega",0,0,""
"c_Pais","NPL","","","Nepal",0,0,""
"c_Pais","NRU","","","Nauru",0,0,""
"c_Pais","NZL","","","Nueva Zelanda",0,0,""
"c_Pais","OMN","","","Om�n",0,0,""
"c_Pais","PAK","","","Pakist�n",0,0,""
"c_Pais","PAN","","","Panam�",0,0,""
"c_Pais","PCN","","","Pitcairn",0,0,""
"c_Pais","PER","","","Per�",0,0,""
"c_Pais","PHL","","","Filipinas (las)",0,0,""
"c_Pais","PLW","","","Palaos",0,0,""
"c_Pais","PNG","","","Pap�a Nueva Guinea",0,0,""
"c_Pais","POL","","","Polonia",0,0,"Uni�n Europea"
"c_Pais","PRI","","","Puerto Rico",0,0,""
"c_Pais","PRK","","","Corea (la Rep�blica Democr�tica Popular de)",0,0,""
"c_Pais","PRT","","","Portugal",0,0,"Uni�n Europea"
"c_Pais","PRY","","","Paraguay",0,0,""
"c_Pais","PSE","","","Palestina, Estado de",0,0,""
"c_Pais","PYF","","","Polinesia Francesa",0,0,""
"c_Pais","QAT","","","Catar",0,0,""
"c_Pais","REU","","","Reuni�n",0,0,""
"c_Pais","ROU","","","Rumania",0,0,"Uni�n Europea"
"c_Pais","RUS","","","Rusia, (la) Federaci�n de",0,0,""
"c_Pais","RWA","","","Ruanda",0,0,""
"c_Pais","SAU","","","Arabia Saudita",0,0,""
"c_Pais","SDN","","","Sud�n (el)",0,0,""
"c_Pais","SEN","","","Senegal",0,0,""
"c_Pais","SGP","","","Singapur",0,0,""
"c_Pais","SGS","","","Georgia del sur y las islas sandwich del sur",0,0,""
"c_Pais","SHN","","","Santa Helena, Ascensi�n y Trist�n de Acu�a",0,0,""
"c_Pais","SJM","","","Svalbard y Jan Mayen",0,0,""
"c_Pais","SLB","","","Islas Salom�n (las)",0,0,""
"c_Pais","SLE","","","Sierra leona",0,0,""
"c_Pais","SLV","","","El Salvador",0,0,""
"c_Pais","SMR","","","San Marino",0,0,""
"c_Pais","SOM","","","Somalia",0,0,""
"c_Pais","SPM","","","San Pedro y Miquel�n",0,0,""
"c_Pais","SRB","","","Serbia",0,0,""
"c_Pais","SSD","","","Sud�n del Sur",0,0,""
"c_Pais","STP","","","Santo Tom� y Pr�ncipe",0,0,""
"c_Pais","SUR","","","Surinam",0,0,""
"c_Pais","SVK","","","Eslovaquia",0,0,"Uni�n Europea"
"c_Pais","SVN","","","Eslovenia",0,0,"Uni�n Europea"
"c_Pais","SWE","","","Suecia",0,0,"Uni�n Europea"
"c_Pais","SWZ","","","Suazilandia",0,0,""
"c_Pais","SXM","","","Sint Maarten (parte holandesa)",0,0,""
"c_Pais","SYC","","","Seychelles",0,0,""
"c_Pais","SYR","","","Siria, (la) Rep�blica �rabe",0,0,""
"c_Pais","TCA","","","Islas Turcas y Caicos (las)",0,0,""
"c_Pais","TCD","","","Chad",0,0,""
"c_Pais","TGO","","","Togo",0,0,""
"c_Pais","THA","","","Tailandia",0,0,""
"c_Pais","TJK","","","Tayikist�n",0,0,""
"c_Pais","TKL","","","Tokelau",0,0,""
"c_Pais","TKM","","","Turkmenist�n",0,0,""
"c_Pais","TLS","","","Timor-Leste",0,0,""
"c_Pais","TON","","","Tonga",0,0,""
"c_Pais","TTO","","","Trinidad y Tobago",0,0,""
"c_Pais","TUN","","","T�nez",0,0,""
"c_Pais","TUR","","","Turqu�a",0,0,""
"c_Pais","TUV","","","Tuvalu",0,0,""
"c_Pais","TWN","","","Taiw�n (Provincia de China)",0,0,""
"c_Pais","TZA","","","Tanzania, Rep�blica Unida de",0,0,""
"c_Pais","UGA","","","Uganda",0,0,""
"c_Pais","UKR","","","Ucrania",0,0,""
"c_Pais","UMI","","","Islas de Ultramar Menores de Estados Unidos (las)",0,0,""
"c_Pais","URY","","","Uruguay",0,0,""
"c_Pais","USA","","","Estados Unidos (los)",0,0,"TLCAN"
"c_Pais","UZB","","","Uzbekist�n",0,0,""
"c_Pais","VAT","","","Santa Sede[Estado de la Ciudad del Vaticano] (la)",0,0,""
"c_Pais","VCT","","","San Vicente y las Granadinas",0,0,""
"c_Pais","VEN","","","Venezuela, Rep�blica Bolivariana de",0,0,""
"c_Pais","VGB","","","Islas V�rgenes (Brit�nicas)",0,0,""
"c_Pais","VIR","","","Islas V�rgenes (EE.UU.)",0,0,""
"c_Pais","VNM","","","Viet Nam",0,0,""
"c_Pais","VUT","","","Vanuatu",0,0,""
"c_Pais","WLF","","","Wallis y Futuna",0,0,""
"c_Pais","WSM","","","Samoa",0,0,""
"c_Pais","YEM","","","Yemen",0,0,""
"c_Pais","ZAF","","","Sud�frica",0,0,""
"c_Pais","ZMB","","","Zambia",0,0,""
"c_Pais","ZWE","","","Zimbabue",0,0,""
"c_Pais","ZZZ","","","Pa�ses no declarados",0,0,""
"c_TasaOCuota","0.000000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.000000","IVA","Tasa","",0,0,""
"c_TasaOCuota","0.030000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.060000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.070000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.080000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.090000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.160000","IVA","Tasa","",0,0,""
"c_TasaOCuota","0.250000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.265000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.300000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.304000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.350000","ISR","Tasa","",0,0,""
"c_TasaOCuota","0.500000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","0.530000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","1.600000","IEPS","Tasa","",0,0,""
"c_TasaOCuota","43.770000","IEPS","Cuota","",0,0,""
